ExistingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,CurrentEmplymentStatus,InstallmentRate,PersonalStatusAndSex,OtherGuarantors,DurationInCurrentResidence,Property,Age,OtherInstallment,Housing,ExistingCredits,Job,PeopleLiable,Telephone,ForeignWorker,Sex,Marital_Status,ClassificationStatus
No Account,30,critical account/ other credits existing (not at this bank),Radio/TV,5771,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,2,Car,25,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
No Account,12,delay in paying off in the past ,Repairs,1555,Above 1000 DM,Above 7 Years,4,"Male, Single",None,4,None,55,None,Free,2,Skilled,2,no,yes,Male,Single,0
None,24,existing credits paid back duly till now ,Car (New),1285,None,"[4, 7) Years",4,"Female, Divorced",None,4,None,32,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
Above 200 DM,6,critical account/ other credits existing (not at this bank),Car (New),1299,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,1,Real Estate,74,None,Own,3,"Unemployed, Unskilled",2,no,no,Male,Single,1
Above 200 DM,15,critical account/ other credits existing (not at this bank),Radio/TV,1271,None,"[1, 4) Years",3,"Male, Single",None,4,None,39,None,Free,2,Skilled,1,yes,yes,Male,Single,0
No Account,24,existing credits paid back duly till now ,Car (New),1393,Below 100 DM,"[1, 4) Years",2,"Male, Single",Guarantor,2,Real Estate,31,None,Own,1,Skilled,1,yes,yes,Male,Single,1
None,12,critical account/ other credits existing (not at this bank),Car (New),691,Below 100 DM,Above 7 Years,4,"Male, Single",None,3,Life Insurance,35,None,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,15,critical account/ other credits existing (not at this bank),Car (New),5045,None,Above 7 Years,1,"Female, Divorced",None,4,Car,59,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
None,18,critical account/ other credits existing (not at this bank),Furniture,2124,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,4,Real Estate,24,None,Rent,2,Skilled,1,no,yes,Female,Divorced,0
None,12,existing credits paid back duly till now ,Radio/TV,2214,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,3,Life Insurance,24,None,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
No Account,21,critical account/ other credits existing (not at this bank),Car (New),12680,None,Above 7 Years,4,"Male, Single",None,4,None,30,None,Free,1,Executive,1,yes,yes,Male,Single,0
No Account,24,critical account/ other credits existing (not at this bank),Car (New),2463,"[100, 500) DM","[4, 7) Years",4,"Male, Married/Widowed",None,3,Life Insurance,27,None,Own,2,Skilled,1,yes,yes,Male,Married/Widowed,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,1155,Below 100 DM,Above 7 Years,3,"Male, Married/Widowed",Guarantor,3,Real Estate,40,Bank,Own,2,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
None,30,existing credits paid back duly till now ,Furniture,3108,Below 100 DM,<1 Year,2,"Male, Divorced",None,4,Life Insurance,31,None,Own,1,Unskilled Resident,1,no,yes,Male,Divorced,0
No Account,10,existing credits paid back duly till now ,Car (Used),2901,None,<1 Year,1,"Female, Divorced",None,4,Real Estate,31,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,12,critical account/ other credits existing (not at this bank),Furniture,3617,Below 100 DM,Above 7 Years,1,"Male, Single",None,4,Car,28,None,Rent,3,Skilled,1,yes,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,1655,Below 100 DM,Above 7 Years,2,"Male, Single",None,4,Real Estate,63,None,Own,2,Unskilled Resident,1,yes,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Car (Used),2812,None,Above 7 Years,2,"Female, Divorced",None,4,Real Estate,26,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
None,36,critical account/ other credits existing (not at this bank),Education,8065,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,2,None,25,None,Own,2,Executive,1,yes,yes,Female,Divorced,0
No Account,21,critical account/ other credits existing (not at this bank),Car (Used),3275,Below 100 DM,Above 7 Years,1,"Male, Single",None,4,Car,36,None,Own,1,Executive,1,yes,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,2223,"[100, 500) DM",Above 7 Years,4,"Male, Single",None,4,Life Insurance,52,Bank,Own,2,Skilled,1,no,yes,Male,Single,1
Above 200 DM,12,critical account/ other credits existing (not at this bank),Car (New),1480,"[500, 1000) DM",Unemployed,2,"Male, Single",None,4,None,66,Bank,Free,3,"Unemployed, Unskilled",1,no,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Car (New),1371,None,"[1, 4) Years",4,"Female, Divorced",None,4,Real Estate,25,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
No Account,36,critical account/ other credits existing (not at this bank),Car (New),3535,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,Car,37,None,Own,2,Skilled,1,yes,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Radio/TV,3509,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",Guarantor,1,Real Estate,25,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,36,critical account/ other credits existing (not at this bank),Car (Used),5711,Above 1000 DM,Above 7 Years,4,"Male, Single",None,2,Car,38,None,Own,2,Executive,1,yes,yes,Male,Single,1
Below 200 DM,18,existing credits paid back duly till now ,Repairs,3872,Below 100 DM,Unemployed,2,"Female, Divorced",None,4,Car,67,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,39,critical account/ other credits existing (not at this bank),Radio/TV,4933,Below 100 DM,"[4, 7) Years",2,"Male, Single",Guarantor,2,Real Estate,25,None,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,24,critical account/ other credits existing (not at this bank),Car (New),1940,Above 1000 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,60,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,12,no credits taken/ all credits paid back duly ,Retraining,1410,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,31,None,Own,1,Unskilled Resident,1,yes,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Car (New),836,"[100, 500) DM",<1 Year,4,"Female, Divorced",None,2,Life Insurance,23,Bank,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,0
Below 200 DM,20,existing credits paid back duly till now ,Car (Used),6468,None,Unemployed,1,"Male, Divorced",None,4,Real Estate,60,None,Own,1,Executive,1,yes,yes,Male,Divorced,1
Below 200 DM,18,existing credits paid back duly till now ,Business,1941,Above 1000 DM,"[1, 4) Years",4,"Male, Single",None,2,Life Insurance,35,None,Own,1,Unskilled Resident,1,yes,yes,Male,Single,1
No Account,22,existing credits paid back duly till now ,Radio/TV,2675,"[500, 1000) DM",Above 7 Years,3,"Male, Single",None,4,Car,40,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,48,critical account/ other credits existing (not at this bank),Car (Used),2751,None,Above 7 Years,4,"Male, Single",None,3,Car,38,None,Own,2,Skilled,2,yes,yes,Male,Single,1
Below 200 DM,48,delay in paying off in the past ,Education,6224,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,50,None,Free,1,Skilled,1,no,yes,Male,Single,0
None,40,critical account/ other credits existing (not at this bank),Education,5998,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,3,None,27,Bank,Own,1,Skilled,1,yes,yes,Male,Single,0
Below 200 DM,21,existing credits paid back duly till now ,Business,1188,Below 100 DM,Above 7 Years,2,"Female, Divorced",None,4,Life Insurance,39,None,Own,1,Skilled,2,no,yes,Female,Divorced,0
No Account,24,existing credits paid back duly till now ,Car (Used),6313,None,Above 7 Years,3,"Male, Single",None,4,Car,41,None,Own,1,Executive,2,yes,yes,Male,Single,1
No Account,6,critical account/ other credits existing (not at this bank),Furniture,1221,None,"[1, 4) Years",1,"Male, Married/Widowed",None,2,Life Insurance,27,None,Own,2,Skilled,1,no,yes,Male,Married/Widowed,1
Above 200 DM,24,existing credits paid back duly till now ,Furniture,2892,Below 100 DM,Above 7 Years,3,"Male, Divorced",None,4,None,51,None,Free,1,Skilled,1,no,yes,Male,Divorced,1
No Account,24,existing credits paid back duly till now ,Furniture,3062,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,3,None,32,None,Rent,1,Skilled,1,yes,yes,Male,Single,1
No Account,9,existing credits paid back duly till now ,Furniture,2301,"[100, 500) DM",<1 Year,2,"Female, Divorced",None,4,Life Insurance,22,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
None,18,existing credits paid back duly till now ,Car (Used),7511,None,Above 7 Years,1,"Male, Single",None,4,Life Insurance,51,None,Free,1,Skilled,2,yes,yes,Male,Single,0
No Account,12,critical account/ other credits existing (not at this bank),Furniture,1258,Below 100 DM,<1 Year,2,"Female, Divorced",None,4,Life Insurance,22,None,Rent,2,Unskilled Resident,1,no,yes,Female,Divorced,1
No Account,24,delay in paying off in the past ,Car (New),717,None,Above 7 Years,4,"Male, Married/Widowed",None,4,Car,54,None,Own,2,Skilled,1,yes,yes,Male,Married/Widowed,1
Below 200 DM,9,existing credits paid back duly till now ,Car (New),1549,None,<1 Year,4,"Male, Single",None,2,Real Estate,35,None,Own,1,"Unemployed, Unskilled",1,no,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Education,1597,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,54,None,Free,2,Skilled,2,no,yes,Male,Single,1
Below 200 DM,18,critical account/ other credits existing (not at this bank),Radio/TV,1795,Below 100 DM,Above 7 Years,3,"Female, Divorced",Guarantor,4,Real Estate,48,Bank,Rent,2,Unskilled Resident,1,yes,yes,Female,Divorced,1
None,20,critical account/ other credits existing (not at this bank),Furniture,4272,Below 100 DM,Above 7 Years,1,"Female, Divorced",None,4,Life Insurance,24,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,976,None,Above 7 Years,4,"Male, Single",None,4,Car,35,None,Own,2,Skilled,1,no,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Car (New),7472,None,Unemployed,1,"Female, Divorced",None,2,Real Estate,24,None,Rent,1,"Unemployed, Unskilled",1,no,yes,Female,Divorced,1
None,36,existing credits paid back duly till now ,Car (New),9271,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,1,Car,24,None,Own,1,Skilled,1,yes,yes,Male,Single,0
Below 200 DM,6,existing credits paid back duly till now ,Radio/TV,590,Below 100 DM,<1 Year,3,"Male, Married/Widowed",None,3,Real Estate,26,None,Own,1,Unskilled Resident,1,no,no,Male,Married/Widowed,1
No Account,12,critical account/ other credits existing (not at this bank),Radio/TV,930,None,Above 7 Years,4,"Male, Single",None,4,Real Estate,65,None,Own,4,Skilled,1,no,yes,Male,Single,1
Below 200 DM,42,all credits at this bank paid back duly ,Car (Used),9283,Below 100 DM,Unemployed,1,"Male, Single",None,2,None,55,Bank,Free,1,Executive,1,yes,yes,Male,Single,1
Below 200 DM,15,no credits taken/ all credits paid back duly ,Car (New),1778,Below 100 DM,<1 Year,2,"Female, Divorced",None,1,Real Estate,26,None,Rent,2,"Unemployed, Unskilled",1,no,yes,Female,Divorced,0
Below 200 DM,8,existing credits paid back duly till now ,Business,907,Below 100 DM,<1 Year,3,"Male, Married/Widowed",None,2,Real Estate,26,None,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,1
Below 200 DM,6,existing credits paid back duly till now ,Radio/TV,484,Below 100 DM,"[4, 7) Years",3,"Male, Married/Widowed",Guarantor,3,Real Estate,28,Bank,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
None,36,critical account/ other credits existing (not at this bank),Car (Used),9629,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,Car,24,None,Own,2,Skilled,1,yes,yes,Male,Single,0
None,48,existing credits paid back duly till now ,Appliances,3051,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,4,Car,54,None,Own,1,Skilled,1,no,yes,Male,Single,0
None,48,existing credits paid back duly till now ,Car (New),3931,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,None,46,None,Free,1,Skilled,2,no,yes,Male,Single,0
Below 200 DM,36,delay in paying off in the past ,Car (New),7432,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Life Insurance,54,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
No Account,6,existing credits paid back duly till now ,Appliances,1338,"[500, 1000) DM","[1, 4) Years",1,"Male, Divorced",None,4,Real Estate,62,None,Own,1,Skilled,1,no,yes,Male,Divorced,1
No Account,6,critical account/ other credits existing (not at this bank),Radio/TV,1554,Below 100 DM,"[4, 7) Years",1,"Female, Divorced",None,2,Car,24,None,Rent,2,Skilled,1,yes,yes,Female,Divorced,1
None,36,existing credits paid back duly till now ,Others,15857,Below 100 DM,Unemployed,2,"Male, Divorced",Co-Applicant,3,Car,43,None,Own,1,Executive,1,no,yes,Male,Divorced,1
None,18,existing credits paid back duly till now ,Radio/TV,1345,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,3,Real Estate,26,Bank,Own,1,Skilled,1,no,yes,Male,Married/Widowed,0
No Account,12,existing credits paid back duly till now ,Car (New),1101,Below 100 DM,"[1, 4) Years",3,"Male, Married/Widowed",None,2,Real Estate,27,None,Own,2,Skilled,1,yes,yes,Male,Married/Widowed,1
Above 200 DM,12,existing credits paid back duly till now ,Radio/TV,3016,Below 100 DM,"[1, 4) Years",3,"Male, Married/Widowed",None,1,Car,24,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
None,36,existing credits paid back duly till now ,Furniture,2712,Below 100 DM,Above 7 Years,2,"Male, Single",None,2,Life Insurance,41,Bank,Own,1,Skilled,2,no,yes,Male,Single,0
None,8,critical account/ other credits existing (not at this bank),Car (New),731,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,47,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Furniture,3780,Below 100 DM,<1 Year,3,"Male, Divorced",None,2,Car,35,None,Own,2,Executive,1,yes,yes,Male,Divorced,1
None,21,critical account/ other credits existing (not at this bank),Car (New),1602,Below 100 DM,Above 7 Years,4,"Male, Married/Widowed",None,3,Car,30,None,Own,2,Skilled,1,yes,yes,Male,Married/Widowed,1
None,18,critical account/ other credits existing (not at this bank),Car (New),3966,Below 100 DM,Above 7 Years,1,"Female, Divorced",None,4,Real Estate,33,Bank,Rent,3,Skilled,1,yes,yes,Female,Divorced,0
No Account,18,no credits taken/ all credits paid back duly ,Business,4165,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,36,Stores,Own,2,Skilled,2,no,yes,Male,Single,0
None,36,existing credits paid back duly till now ,Car (Used),8335,None,Above 7 Years,3,"Male, Single",None,4,None,47,None,Free,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,48,delay in paying off in the past ,Business,6681,None,"[1, 4) Years",4,"Male, Single",None,4,None,38,None,Free,1,Skilled,2,yes,yes,Male,Single,1
No Account,24,delay in paying off in the past ,Business,2375,"[500, 1000) DM","[1, 4) Years",4,"Male, Single",None,2,Car,44,None,Own,2,Skilled,2,yes,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Car (New),1216,Below 100 DM,<1 Year,4,"Female, Divorced",None,3,Car,23,None,Rent,1,Skilled,1,yes,yes,Female,Divorced,0
None,45,no credits taken/ all credits paid back duly ,Business,11816,Below 100 DM,Above 7 Years,2,"Male, Single",None,4,Car,29,None,Rent,2,Skilled,1,no,yes,Male,Single,0
Below 200 DM,24,existing credits paid back duly till now ,Radio/TV,5084,None,Above 7 Years,2,"Female, Divorced",None,4,Car,42,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
Above 200 DM,15,existing credits paid back duly till now ,Radio/TV,2327,Below 100 DM,<1 Year,2,"Female, Divorced",None,3,Real Estate,25,None,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,0
None,12,no credits taken/ all credits paid back duly ,Car (New),1082,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,Car,48,Bank,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,12,existing credits paid back duly till now ,Radio/TV,886,None,"[1, 4) Years",4,"Female, Divorced",None,2,Car,21,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,4,existing credits paid back duly till now ,Furniture,601,Below 100 DM,<1 Year,1,"Female, Divorced",None,3,Real Estate,23,None,Rent,1,Unskilled Resident,2,no,yes,Female,Divorced,1
None,24,critical account/ other credits existing (not at this bank),Car (Used),2957,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Life Insurance,63,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,2611,Below 100 DM,Above 7 Years,4,"Male, Married/Widowed",Co-Applicant,3,Real Estate,46,None,Own,2,Skilled,1,no,yes,Male,Married/Widowed,1
None,36,existing credits paid back duly till now ,Furniture,5179,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,2,Life Insurance,29,None,Own,1,Skilled,1,no,yes,Male,Single,0
No Account,21,delay in paying off in the past ,Car (Used),2993,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Real Estate,28,Stores,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Repairs,1943,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Real Estate,23,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
No Account,24,all credits at this bank paid back duly ,Business,1559,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,Car,50,Bank,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Furniture,3422,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Life Insurance,47,Bank,Own,3,Skilled,2,yes,yes,Male,Single,1
Below 200 DM,21,existing credits paid back duly till now ,Furniture,3976,None,"[4, 7) Years",2,"Male, Single",None,3,Car,35,None,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Car (New),6761,None,"[1, 4) Years",2,"Male, Single",None,4,Car,68,None,Rent,2,Skilled,1,no,yes,Male,Single,0
No Account,24,existing credits paid back duly till now ,Car (New),1249,Below 100 DM,<1 Year,4,"Male, Married/Widowed",None,2,Real Estate,28,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
None,9,existing credits paid back duly till now ,Radio/TV,1364,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,4,Real Estate,59,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Radio/TV,709,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,57,Stores,Own,1,Unskilled Resident,1,no,yes,Male,Single,0
None,20,critical account/ other credits existing (not at this bank),Car (New),2235,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",Guarantor,2,Life Insurance,33,Bank,Rent,2,Skilled,1,no,no,Male,Married/Widowed,0
No Account,24,critical account/ other credits existing (not at this bank),Car (Used),4042,None,"[4, 7) Years",3,"Male, Single",None,4,Life Insurance,43,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Radio/TV,1471,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,None,35,None,Free,2,Skilled,1,yes,yes,Male,Single,1
None,18,all credits at this bank paid back duly ,Car (New),1442,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,4,None,32,None,Free,2,Unskilled Resident,2,no,yes,Male,Single,0
No Account,36,delay in paying off in the past ,Car (New),10875,Below 100 DM,Above 7 Years,2,"Male, Single",None,2,Car,45,None,Own,2,Skilled,2,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Car (New),1474,"[100, 500) DM",<1 Year,4,"Male, Married/Widowed",None,3,Real Estate,33,None,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,1
No Account,10,existing credits paid back duly till now ,Retraining,894,None,"[4, 7) Years",4,"Female, Divorced",None,3,Life Insurance,40,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
No Account,15,critical account/ other credits existing (not at this bank),Furniture,3343,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,2,None,28,None,Free,1,Skilled,1,yes,yes,Male,Single,1
None,15,existing credits paid back duly till now ,Car (New),3959,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,2,Life Insurance,29,None,Own,1,Skilled,1,yes,yes,Female,Divorced,0
No Account,9,existing credits paid back duly till now ,Car (New),3577,"[100, 500) DM","[1, 4) Years",1,"Male, Single",Guarantor,2,Real Estate,26,None,Rent,1,Skilled,2,no,no,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Car (Used),5804,Above 1000 DM,"[1, 4) Years",4,"Male, Single",None,2,Real Estate,27,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,18,delay in paying off in the past ,Business,2169,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,2,Car,28,None,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,0
None,24,existing credits paid back duly till now ,Radio/TV,2439,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Real Estate,35,None,Own,1,Skilled,1,yes,yes,Female,Divorced,0
No Account,27,critical account/ other credits existing (not at this bank),Furniture,4526,Above 1000 DM,<1 Year,4,"Male, Single",None,2,Real Estate,32,Stores,Own,2,Unskilled Resident,2,yes,yes,Male,Single,1
No Account,10,existing credits paid back duly till now ,Furniture,2210,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,25,Bank,Rent,1,Unskilled Resident,1,no,yes,Male,Single,0
No Account,15,existing credits paid back duly till now ,Furniture,2221,"[500, 1000) DM","[1, 4) Years",2,"Female, Divorced",None,4,Car,20,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
None,18,existing credits paid back duly till now ,Radio/TV,2389,Below 100 DM,<1 Year,4,"Female, Divorced",None,1,Car,27,Stores,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,12,critical account/ other credits existing (not at this bank),Furniture,3331,Below 100 DM,Above 7 Years,2,"Male, Single",None,4,Life Insurance,42,Stores,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,36,existing credits paid back duly till now ,Business,7409,None,Above 7 Years,3,"Male, Single",None,2,Life Insurance,37,None,Own,2,Skilled,1,no,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Furniture,652,Below 100 DM,Above 7 Years,4,"Female, Divorced",None,4,Life Insurance,24,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
No Account,36,delay in paying off in the past ,Furniture,7678,"[500, 1000) DM","[4, 7) Years",2,"Female, Divorced",None,4,Car,40,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
Above 200 DM,6,critical account/ other credits existing (not at this bank),Car (New),1343,Below 100 DM,Above 7 Years,1,"Male, Single",None,4,Real Estate,46,None,Own,2,Skilled,2,no,no,Male,Single,1
None,24,critical account/ other credits existing (not at this bank),Business,1382,"[100, 500) DM","[4, 7) Years",4,"Male, Single",None,1,Real Estate,26,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,15,existing credits paid back duly till now ,Appliances,874,None,<1 Year,4,"Female, Divorced",None,1,Real Estate,24,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
None,12,existing credits paid back duly till now ,Furniture,3590,Below 100 DM,"[1, 4) Years",2,"Male, Single",Co-Applicant,2,Life Insurance,29,None,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
Below 200 DM,11,critical account/ other credits existing (not at this bank),Car (New),1322,Above 1000 DM,"[1, 4) Years",4,"Female, Divorced",None,4,Car,40,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
None,18,all credits at this bank paid back duly ,Radio/TV,1940,Below 100 DM,<1 Year,3,"Male, Single",Co-Applicant,4,None,36,Bank,Free,1,Executive,1,yes,yes,Male,Single,1
No Account,36,existing credits paid back duly till now ,Radio/TV,3595,Below 100 DM,Above 7 Years,4,"Male, Single",None,2,Car,28,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,9,existing credits paid back duly till now ,Car (New),1422,Below 100 DM,<1 Year,3,"Male, Single",None,2,None,27,None,Free,1,Executive,1,yes,yes,Male,Single,0
No Account,30,critical account/ other credits existing (not at this bank),Radio/TV,6742,None,"[4, 7) Years",2,"Male, Single",None,3,Life Insurance,36,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Car (Used),7814,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,3,Car,38,None,Own,1,Executive,1,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Car (Used),9277,None,"[1, 4) Years",2,"Male, Divorced",None,4,None,48,None,Free,1,Skilled,1,yes,yes,Male,Divorced,1
Below 200 DM,30,critical account/ other credits existing (not at this bank),Car (New),2181,None,Above 7 Years,4,"Male, Single",None,4,Real Estate,36,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Radio/TV,1098,Below 100 DM,Unemployed,4,"Female, Divorced",None,4,Car,65,None,Own,2,"Unemployed, Unskilled",1,no,yes,Female,Divorced,1
Below 200 DM,24,existing credits paid back duly till now ,Furniture,4057,Below 100 DM,"[4, 7) Years",3,"Male, Divorced",None,3,Car,43,None,Own,1,Skilled,1,yes,yes,Male,Divorced,0
None,12,existing credits paid back duly till now ,Education,795,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Life Insurance,53,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,24,critical account/ other credits existing (not at this bank),Business,2825,None,"[4, 7) Years",4,"Male, Single",None,3,None,34,None,Own,2,Skilled,2,yes,yes,Male,Single,1
Below 200 DM,48,existing credits paid back duly till now ,Business,15672,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,23,None,Own,1,Skilled,1,yes,yes,Male,Single,0
No Account,36,critical account/ other credits existing (not at this bank),Car (New),6614,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,34,None,Own,2,Executive,1,yes,yes,Male,Single,1
No Account,28,all credits at this bank paid back duly ,Car (Used),7824,None,<1 Year,3,"Male, Single",Guarantor,4,Real Estate,40,Bank,Rent,2,Skilled,2,yes,yes,Male,Single,1
None,27,critical account/ other credits existing (not at this bank),Business,2442,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,43,Stores,Own,4,Executive,2,yes,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Radio/TV,1829,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,46,None,Own,2,Skilled,1,yes,yes,Male,Single,1
None,12,critical account/ other credits existing (not at this bank),Car (New),2171,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,Life Insurance,38,Bank,Own,2,Unskilled Resident,1,no,no,Male,Single,1
Below 200 DM,36,critical account/ other credits existing (not at this bank),Car (Used),5800,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,4,Car,34,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Radio/TV,1169,None,"[1, 4) Years",4,"Male, Single",None,3,Life Insurance,29,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,36,delay in paying off in the past ,Car (Used),8947,None,"[4, 7) Years",3,"Male, Single",None,2,Car,31,Stores,Own,1,Executive,2,yes,yes,Male,Single,1
None,21,existing credits paid back duly till now ,Radio/TV,2606,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Life Insurance,28,None,Rent,1,Executive,1,yes,yes,Female,Divorced,1
